model_id,rmse,mse,mae,rmsle,mean_residual_deviance
GBM_4_AutoML_1_20260530_02113,87.15261339663653,7595.578021863587,52.22835568691071,,7595.578021863587
GBM_grid_1_AutoML_1_20260530_02113_model_2,87.35752888026096,7631.337852065628,50.703736257721154,0.1314461214996005,7631.337852065628
GBM_grid_1_AutoML_1_20260530_02113_model_5,89.14668386544507,7947.131244205605,53.08328481656838,,7947.131244205605
GBM_1_AutoML_1_20260530_02113,89.22000893225659,7960.209993871945,53.550203303143405,,7960.209993871945
GBM_3_AutoML_1_20260530_02113,89.33639720812064,7980.991866127105,52.43101556611716,,7980.991866127105
GBM_grid_1_AutoML_1_20260530_02113_model_4,90.26731489292838,8148.188137979091,59.36492746267504,,8148.188137979091
DRF_1_AutoML_1_20260530_02113,95.29229631318258,9080.621736639388,54.70155137690702,0.1001951293500106,9080.621736639388
GBM_2_AutoML_1_20260530_02113,97.52159981386188,9510.462430255027,57.8204831518344,,9510.462430255027
GBM_5_AutoML_1_20260530_02113,100.18874138651886,10037.783900614755,61.25854905829649,,10037.783900614755
GBM_grid_1_AutoML_1_20260530_02113_model_1,101.0488139355788,10210.862797787226,60.39368028652433,,10210.862797787226
XRT_1_AutoML_1_20260530_02113,108.74445276966212,11825.356008173276,82.36168537820376,0.6091129577860583,11825.356008173276
GBM_grid_1_AutoML_1_20260530_02113_model_3,139.74176484547348,19527.760842127605,100.45237779197244,,19527.760842127605
DeepLearning_grid_2_AutoML_1_20260530_02113_model_1,163.54031870988564,26745.43584373097,117.25168849325036,,26745.43584373097
DeepLearning_grid_2_AutoML_1_20260530_02113_model_2,188.73993958121795,35622.7647931218,144.21630875676124,,35622.7647931218
DeepLearning_grid_1_AutoML_1_20260530_02113_model_1,207.8090815195417,43184.614361995526,163.0028784218976,,43184.614361995526
DeepLearning_grid_3_AutoML_1_20260530_02113_model_1,234.839059815884,55149.38401520833,150.72058216335353,,55149.38401520833
DeepLearning_grid_1_AutoML_1_20260530_02113_model_2,260.9064019368352,68072.1505716254,185.1361137601454,,68072.1505716254
DeepLearning_1_AutoML_1_20260530_02113,561.3150372701258,315074.57106556266,439.9855400409906,,315074.57106556266
GLM_1_AutoML_1_20260530_02113,602.508219974876,363016.1551372936,493.7032059618861,1.6664465789262677,363016.1551372936
